cod_ibge,variavel,populacao_estimada,integrado_snt,p_value,tau
3500105,Óbitos totais,35642,Sim,0.35049699598852846,0.06907313746989881
3500204,Óbitos totais,4478,Sim,0.3940349944338268,-0.06400532472346196
3500303,Óbitos totais,32888,Não,0.0410468317405027,-0.14879024044204858
3500402,Óbitos totais,7470,Sim,0.12954183074634273,0.11114388134958886
3500501,Óbitos totais,18245,Sim,0.28460166218850025,0.07864527741532366
3500550,Óbitos totais,7407,Não,0.9649387616467011,0.003480568281299173
3500600,Óbitos totais,2829,Sim,0.3900408572180498,-0.06450367700527061
3500709,Óbitos totais,38879,Sim,0.8470105584586155,0.014242269119345523
3500758,Óbitos totais,6330,Não,0.7509810356892799,0.023678533271664134
3500808,Óbitos totais,4556,Não,0.4702563269578274,-0.05407400038490588
3500907,Óbitos totais,3479,Não,0.3660866482285918,-0.06762446816411839
3501004,Óbitos totais,17156,Sim,0.8819990775179409,-0.010974866226661616
3501103,Óbitos totais,3883,Não,0.29157371288186584,-0.0787115568915876
3501152,Óbitos totais,17591,Sim,0.07081096325371364,0.13342831166582278
3501202,Óbitos totais,3978,Não,0.7476127109192765,0.024174153289479704
3501301,Óbitos totais,28250,Não,0.1765603706444328,-0.0995482064818018
3501400,Óbitos totais,4896,Não,0.19818564765177604,0.09643704694455209
3501509,Óbitos totais,2923,Não,0.7242128519177321,0.02704825656438898
3501608,Óbitos totais,246655,Sim,0.2726978182761419,0.07339753656604474
3501707,Óbitos totais,33757,Sim,0.6001791721709973,0.03863783610069267
3501806,Óbitos totais,5975,Sim,0.6305838425060986,0.035810869502252284
3501905,Óbitos totais,69717,Sim,0.07949764915956486,-0.11924942207094105
3502002,Óbitos totais,4684,Não,0.16588306385936957,-0.10328492099432714
3502101,Óbitos totais,61473,Sim,0.6099538396681798,0.03633050520122244
3502200,Óbitos totais,24512,Sim,0.8025442577521174,0.018186171293387926
3502309,Óbitos totais,5766,Não,0.7210093119595681,0.026729405462521876
3502408,Óbitos totais,4108,Não,0.5968403396364582,-0.03993084766992942
3502507,Óbitos totais,33223,Sim,0.3002195962830948,-0.07363368632826588
3502606,Óbitos totais,4124,Não,0.8817374083653815,0.011672093934287062
3502705,Óbitos totais,24886,Sim,0.12008411761206585,0.113069440295168
3502754,Óbitos totais,22168,Sim,0.9543012604763634,-0.0041625669960751845
3502804,Óbitos totais,207775,Sim,0.9438595669437292,-0.00483443170607169
3502903,Óbitos totais,33656,Sim,0.3124341389411289,0.07187897541935835
3503000,Óbitos totais,5526,Não,0.24428458849166212,0.08643777414269754
3503109,Óbitos totais,7050,Sim,0.30917726215817604,0.0758646644393456
3503158,Óbitos totais,2355,Não,0.2004454243561126,-0.09617157889560526
3503208,Óbitos totais,252318,Sim,0.015733961441597763,-0.15771002594289907
3503307,Óbitos totais,135331,Sim,0.4402098277511446,-0.05232162159481635
3503356,Óbitos totais,2085,Não,0.5298827612434269,-0.047435011963873876
3503406,Óbitos totais,8280,Sim,0.8400198305558554,0.015200916136152872
3503505,Óbitos totais,3625,Não,0.3844063843768896,0.06536288737352974
